id,name,popularity,duration_min,release_year,tempo_category,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4u4NyuceXP7Uzh7XFJKCr1,Hold On,92,2.85,2021,fast,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98,4
6Im9k8u9iIzKMrmV7BWtlF,34+35,91,2.9,2020,medium,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,4
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),91,2.77,2020,medium,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4
45bE4HXI0AwGZXfZtMp8JR,you broke me first,91,2.82,2020,medium,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4
2TksvaRivgAEj780DgRB73,911,91,3.6,2021,medium,0.795,0.655,7,-3.815,1,0.0422,0.076,1.76e-06,0.296,0.744,93.029,4
3aQem4jVGdhtg116TmJnHz,What’s Next,91,2.97,2021,medium,0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895,4
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),91,3.03,2020,slow,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4
1diS6nkxMQc3wwC4G1j0bh,We're Good,91,2.76,2021,fast,0.722,0.588,6,-5.932,1,0.0544,0.0319,0.0,0.183,0.59,134.01,4
4saklk6nie3yiGePpBwUoc,Dynamite,91,3.32,2020,medium,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,91,2.67,2020,slow,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,91,2.98,2020,fast,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,4
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),91,2.5,2021,medium,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,4
61KpQadow081I2AsbeLcsb,deja vu,90,3.59,2021,fast,0.439,0.61,9,-7.236,1,0.116,0.593,1.07e-05,0.341,0.172,181.088,4
6fRxMU4LWwyaSSowV441IU,Beautiful Mistakes (feat. Megan Thee Stallion),90,3.79,2021,medium,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,4
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),90,3.38,2020,medium,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4
079Ey5uxL04AKPQgVQwx5h,Baila Conmigo (with Rauw Alejandro),90,3.1,2021,fast,0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,4
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,90,3.04,2019,medium,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,4
31qCy5ZaophVA81wtlwLc4,Anyone,90,3.18,2021,medium,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),90,2.6,2021,medium,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,4
54bFM56PmE4YLRnqpW6Tha,Therefore I Am,90,2.91,2020,medium,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,4
4MzXwWMhyBbmu6hOcLVD49,DÁKITI,90,3.42,2020,medium,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4
1KixkQVDUHggZMU9dUobgm,My Head & My Heart,90,2.91,2020,medium,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001,4
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),90,3.13,2020,fast,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,90,4.01,2013,medium,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
43PGPuHIlVOc04jrZVh9L6,RAPSTAR,89,2.77,2021,slow,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,4
249gnXrbfmV8NG6jTEMSwD,Life Goes On,89,3.46,2020,slow,0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,4
7ndTONDDRFGiPnnhOzOXxq,La Nota,89,3.6,2020,medium,0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,4
